Ministries/Departments,Heads of Expenditure,Detailed Heads of Expenditure,Actual 2019-2020,Budget 2020-2021,Revised 2020-2021,Budget 2021-2022
Ministry of Road Transport and Highways,Works Financed from PBFF,Transfer to PBFF,10.46,18.32,18.32,20.07
Ministry of Road Transport and Highways,Works Financed from PBFF,Met from PBFF,-0.61,-18.32,-18.32,-20.07
Ministry of Road Transport and Highways,"Research, Training and Studies","Research, Training and Studies",140.20,...,...,...
Ministry of Road Transport and Highways,"Research, Training, Studies and Other Road Safety Schemes",Schemes financed from CRIF,2.29,379.00,230.50,336.00
Ministry of Road Transport and Highways,"Research, Training, Studies and Other Road Safety Schemes",Transfer to CRIF,8.00,379.00,230.50,336.00
Ministry of Road Transport and Highways,"Research, Training, Studies and Other Road Safety Schemes",Met from CRIF,-2.29,-379.00,-230.50,-336.00
Ministry of Road Transport and Highways,Scheme on Women Safety,Scheme on Women Safety on Public Road Transport,66.42,174.36,140.00,100.00
Ministry of Road Transport and Highways,Scheme on Women Safety,Met from Nirbhaya Fund,-66.42,-174.36,-140.00,-100.00
Ministry of Road Transport and Highways,Actual Recoveries,Actual Recoveries,-33.22,...,...,...
Ministry of Road Transport and Highways,Roads and Bridges,Roads and Bridges,2313.34,2697.39,2831.39,2729.11
Ministry of Road Transport and Highways,Road Transport,Road Transport,140.20,359.00,225.00,316.00
Ministry of Road Transport and Highways,Secretariat-Economic Services,Secretariat-Economic Services,137.50,166.77,166.77,153.65
Ministry of Road Transport and Highways,Capital Outlay on Roads and Bridges,Capital Outlay on Roads and Bridges,68365.50,75174.71,84077.67,98620.11
Ministry of Road Transport and Highways,Capital Outlay on Road Transport,Capital Outlay on Road Transport,8.00,20.00,5.50,20.00
Ministry of Road Transport and Highways,Grants-in-aid to State Governments,Grants-in-aid to State Governments,7066.33,6340.00,6409.76,6535.00
Ministry of Road Transport and Highways,Grants-in-aid to Union Territory Governments,Grants-in-aid to Union Territory Governments,217.85,285.35,137.13,137.13
Ministry of Road Transport and Highways,Capital Outlay on North Eastern Areas,Capital Outlay on North Eastern Areas,...,6780.00,7970.00,9590.00
Ministry of Shipping,Secretariat,Secretariat,54.16,74.00,68.61,77.00
Ministry of Shipping,Development of Major Ports,Development of Major Ports,107.00,...,...,...
Ministry of Shipping,Development of Minor Ports,Minor Ports,97.15,142.50,127.50,133.90
Ministry of Shipping,Oil Pollution and Research and Development.,Oil Pollution and Research and Development.,3.66,1.00,0.20,1.00
Ministry of Shipping,Sagarmala,Sagarmala Schemes and Projects,96.38,211.00,96.69,251.00
Ministry of Shipping,Sagarmala,Other Schemes under Sagarmala,80.49,86.00,50.31,50.00
Ministry of Shipping,Sagarmala,Sagarmala Development Company,200.00,...,100.00,100.00
Ministry of Shipping,Sagarmala,Transfer to Central Road and Infrastructure Fund (CRIF),200.00,...,100.00,100.00
Ministry of Shipping,Sagarmala,Met from CRIF - Gross,-200.00,...,-100.00,-100.00
Ministry of Shipping,Sagarmala,Met from CRIF - Net,376.87,297.00,247.00,401.00
Ministry of Shipping,"Assistance to Ship Building, Research and Development","Assistance to Ship Building, Research and Development",42.43,151.00,129.30,101.00
Ministry of Shipping,Grants to Inland Water Transport Authority of India,Grants to Inland Water Transport Authority of India,224.23,301.80,203.20,252.10
Ministry of Shipping,IWAI Projects,EAP Components,200.00,270.00,231.50,150.00
Ministry of Shipping,IWAI Projects,Programme Component,30.00,30.00,30.00,145.00
Ministry of Shipping,IWAI Projects,Interest under EBR,76.38,76.50,76.50,76.50
Ministry of Shipping,Aid to Bangladesh,Aid to Bangladesh,0.01,...,...,...
Ministry of Shipping,Actual Recoveries,Actual Recoveries,-19.19,...,...,...
Ministry of Shipping,Tariff Authority for Major Ports,Tariff Authority for Major Ports,8.38,9.60,9.60,10.60
Ministry of Shipping,Indian Maritime University,Indian Maritime University,...,...,...,1.00
Ministry of Shipping,Hooghly Dock and Port Engineers Ltd.,Hooghly Dock and Port Engineers Ltd.,188.19,...,...,...
Ministry of Shipping,Kolkata Port Trust,Kolkata Port Trust,100.00,301.90,175.55,183.00
Ministry of Shipping,Shipping Corporation of India,Shipping Corporation of India,...,21.10,21.10,25.00
Ministry of Shipping,Directorate General of Shipping,Directorate General of Shipping,107.09,123.60,113.59,145.25
Ministry of Shipping,Directorate General of Lighthouses and Lightships,Director General of Lighthouses and Lightships,377.91,380.00,410.00,410.00
Ministry of Shipping,Directorate General of Lighthouses and Lightships,Recoveries,-88.24,-60.00,-60.00,-70.00
Ministry of Shipping,Directorate General of Lighthouses and Lightships,Receipts - Gross,-316.95,-320.00,-350.00,-340.00
Ministry of Shipping,Directorate General of Lighthouses and Lightships,Receipts - Net,-27.28,...,...,...
Ministry of Shipping,Industries,Industries,231.28,153.00,130.80,103.00
Ministry of Shipping,Ports and Light Houses,Ports and Light Houses,380.64,621.00,369.54,521.50
Ministry of Shipping,Shipping,Shipping,89.82,134.70,124.69,146.25
